"<HEADER software/>"
EwEVersion,"6.7.0.17868 (compiled 5/31/2022)"
Date,"8/7/2023 5:44:25 PM"
"<HEADER ecopath/>"
ModelName,1
"<HEADER ecosim/>"
EcosimScenario,sim-spa_01
TimeSeries,TS_updated_IB13
StartYear,1980
"<HEADER end/>"

Data,CatchFleetGroup

year,fleet,group,value
1980,1,71,0.02700872
1980,1,72,0.000171794
1980,1,74,9.048502E-06
1980,2,9,5.565063E-07
1980,2,12,2.492762E-08
1980,2,15,5.174293E-07
1980,2,18,0.0005370033
1980,2,23,9.997868E-07
1980,2,26,3.250364E-05
1980,2,28,5.108132E-08
1980,2,30,1.49835E-08
1980,2,33,2.90239E-05
1980,2,35,6.535441E-08
1980,2,40,0.0007442354
1980,2,41,1.411734E-05
1980,2,42,0.0004775698
1980,2,46,0.001874806
1980,2,47,0.00035737
1980,2,48,4.797087E-05
1980,2,64,3.074367E-06
1980,2,72,3.980264E-06
1980,3,15,4.829341E-05
1980,3,18,1.020899E-05
1980,3,26,2.08046E-07
1980,3,28,2.404834E-07
1980,3,30,1.839432E-09
1980,3,33,5.047648E-06
1980,3,35,6.536714E-08
1980,3,40,6.735162E-06
1980,3,41,0.0001256974
1980,3,46,6.776541E-06
1980,3,47,0.006183399
1980,4,15,3.695249E-05
1980,5,9,2.389258E-05
1980,5,12,3.464942E-06
1980,6,12,8.245903E-06
1980,6,18,0.007824275
1980,6,23,0.0001537755
1980,6,40,0.0002694071
1980,6,41,0.002141165
1980,6,42,0.004153381
1980,6,46,0.0007741111
1980,6,47,0.01107485
1980,6,48,0.001318864
1980,6,54,3.765599E-06
1980,6,57,0.003761554
1980,6,58,0.001517477
1980,6,64,0.03977747
1980,6,72,0.0001925579
1980,7,40,2.020545E-05
1980,7,46,2.032959E-05
1980,7,47,1.079609E-05
1980,7,49,0.0002052869
1980,7,64,3.074367E-06
1980,7,72,0.0002728735
1980,8,28,2.061895E-07
1980,8,33,6.309555E-07
1980,8,40,3.704343E-05
1980,8,46,9.148336E-05
1980,8,47,0.001546372
1980,8,72,0.01409504
1980,9,9,0.0002660563
1980,9,12,1.208109E-05
1980,9,18,0.001428547
1980,9,25,0.0003475892
1980,9,41,0.01538885
1980,9,42,0.01586923
1980,9,43,0.0003936435
1980,9,44,2.538603E-07
1980,9,46,0.0002080225
1980,9,47,0.01778105
1980,9,48,6.548526E-06
1980,9,49,7.280279E-05
1980,9,52,0.0001165102
1980,9,54,3.385211E-05
1980,9,57,0.002066138
1980,9,58,0.001875669
1980,9,63,1.089111E-05
1980,9,64,0.001180762
1980,9,65,0.001276387
1980,9,66,0.0001190628
1980,9,72,3.076423E-05
1980,9,73,0.002256214
1980,10,15,0.003084939
1980,10,18,0.0006091358
1980,10,41,0.001365855
1980,10,46,3.388275E-06
1980,10,54,0.0003426686
1980,10,57,0.002418893
1980,10,58,2.898984E-06
1980,10,64,0.0001783133
1980,10,72,6.82182E-06
1980,11,41,3.529346E-06
1980,11,42,4.539262E-05
1980,11,46,6.776541E-06
1980,11,47,0.0001763367
1980,11,66,3.231685E-05
1980,11,72,0.001071336
1980,12,9,8.009492E-07
1980,12,12,0.0001678312
1980,12,18,3.714857E-06
1980,12,21,9.166201E-05
1980,12,23,0.001712777
1980,12,35,0.001054497
1980,12,42,0.008129925
1980,12,44,0.0001202202
1980,12,46,0.001297604
1980,12,47,0.02890483
1980,12,48,0.0007513982
1980,12,64,0.0002074291
1980,12,66,0.0001092631
1980,12,71,0.006069638
1980,12,72,0.02023102
1980,13,9,2.563896E-06
1980,13,12,2.734407E-07
1980,13,15,7.49323E-06
1980,13,18,6.424156E-05
1980,13,23,3.192949E-10
1980,13,25,8.154151E-08
1980,13,26,3.12352E-05
1980,13,28,1.3168E-06
1980,13,33,1.870348E-06
1980,13,34,8.126367E-06
1980,13,35,2.026835E-09
1980,13,40,1.795438E-05
1980,13,41,6.429138E-07
1980,13,42,3.592744E-06
1980,13,44,3.503599E-07
1980,13,45,2.873185E-06
1980,13,46,0.0001659581
